City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Videira,BR,2021-06-17 23:56:01,-27.0083,-51.1517,46.9,96,72,0.63
199,Camargo,MX,2021-06-17 23:56:02,27.6667,-105.1667,90.93,15,6,18.88
200,Conde,BR,2021-06-17 23:56:02,-7.2597,-34.9075,76.46,88,0,9.22
201,Oytal,KZ,2021-06-17 23:56:02,42.9057,73.2697,65.1,40,38,6.31
202,Lagos,NG,2021-06-17 23:51:57,6.5833,3.75,80.92,90,86,5.5
203,Tomatlan,MX,2021-06-17 23:56:03,19.9333,-105.25,84.83,70,95,7.78
204,Gigmoto,PH,2021-06-17 23:56:03,13.7796,124.39,85.95,73,99,6.82
205,Safranbolu,TR,2021-06-17 23:56:04,41.2508,32.6942,54.75,94,27,1.61
206,Cayenne,GF,2021-06-17 23:56:04,4.9333,-52.3333,78.1,89,0,0.0
207,Qaqortoq,GL,2021-06-17 23:56:04,60.7167,-46.0333,39.6,76,22,3.18
208,Teguldet,RU,2021-06-17 23:56:05,57.3064,88.1667,60.49,95,49,3.51
209,Tashla,RU,2021-06-17 23:56:05,51.7716,52.7427,57.45,75,0,10.54
210,Ilabaya,PE,2021-06-17 23:56:06,-17.4208,-70.5133,64.54,54,3,1.32
211,Manicore,BR,2021-06-17 23:56:06,-5.8092,-61.3003,73.35,100,75,8.05
212,Kailua,US,2021-06-17 23:56:06,21.4022,-157.7394,84.02,65,90,9.22
213,Bonavista,CA,2021-06-17 23:56:07,48.6499,-53.1147,64.4,76,71,16.78
214,Mandera,KE,2021-06-17 23:56:07,3.9366,41.867,77.07,54,72,15.99
215,Lompoc,US,2021-06-17 23:56:08,34.6391,-120.4579,97.12,67,20,4.0
216,Matara,LK,2021-06-17 23:56:08,5.9485,80.5353,76.95,91,79,8.81
217,Tiksi,RU,2021-06-17 23:56:08,71.6872,128.8694,51.82,67,90,2.86
218,Dhidhdhoo,MV,2021-06-17 23:56:09,6.8833,73.1,82.72,78,89,14.29
219,Saskylakh,RU,2021-06-17 23:56:09,71.9167,114.0833,75.96,34,14,11.41
220,Herat,AF,2021-06-17 23:56:09,34.5,62.0,70.12,14,0,12.66
221,Kuznetsk,RU,2021-06-17 23:56:10,53.1167,46.6004,53.38,89,9,5.95
222,Mehran,IR,2021-06-17 23:56:10,33.1222,46.1646,83.68,13,0,18.34
223,Bourail,NC,2021-06-17 23:56:10,-21.5667,165.4833,77.09,68,61,0.85
224,Goure,NE,2021-06-17 23:56:11,13.9835,10.2704,84.02,32,36,6.64
225,San Policarpo,PH,2021-06-17 23:56:11,12.1791,125.5072,82.09,83,95,6.4
226,Pevek,RU,2021-06-17 23:56:11,69.7008,170.3133,32.85,93,100,5.08
227,Saint-Augustin,CA,2021-06-17 23:56:12,51.226,-58.6502,48.33,91,49,11.05
228,Grammatikou,GR,2021-06-17 23:56:12,38.5333,21.5,65.25,74,0,2.28
229,Iwanai,JP,2021-06-17 23:56:13,42.9744,140.5089,71.01,66,87,1.86
230,Poum,NC,2021-06-17 23:56:13,-20.2333,164.0167,75.7,80,21,8.16
231,Tigre,AR,2021-06-17 23:56:13,-34.426,-58.5796,46.4,62,54,6.91
232,La Tuque,CA,2021-06-17 23:56:14,47.4334,-72.7824,75.45,19,53,4.61
233,Vila Franca Do Campo,PT,2021-06-17 23:56:14,37.7167,-25.4333,63.01,73,86,6.64
234,Saint George,US,2021-06-17 23:54:36,37.1041,-113.5841,109.63,9,1,4.0
235,Antofagasta,CL,2021-06-17 23:52:29,-23.65,-70.4,58.28,74,8,5.61
236,Maceio,BR,2021-06-17 23:56:15,-9.6658,-35.7353,76.44,83,20,5.75
237,Qui Nhon,VN,2021-06-17 23:56:15,13.7667,109.2333,83.35,67,45,4.74
238,Ishigaki,JP,2021-06-17 23:56:15,24.3448,124.1572,84.33,94,75,5.75
239,Bazarnyye Mataki,RU,2021-06-17 23:56:16,54.8833,49.9333,50.5,78,21,7.92
240,Naze,JP,2021-06-17 23:56:16,28.3667,129.4833,76.12,84,100,2.26
241,Mahebourg,MU,2021-06-17 23:56:16,-20.4081,57.7,70.09,88,75,5.75
